country,year_month,monthly_count
Faroe Islands,2021-04,3
Faroe Islands,2021-05,54
Faroe Islands,2021-06,66
Faroe Islands,2021-07,201
Faroe Islands,2021-08,35
Faroe Islands,2021-09,200
Faroe Islands,2021-10,130
Finland,2020-01,0
Finland,2020-02,1
Finland,2020-03,625
Finland,2020-04,3950
Finland,2020-05,2003
Finland,2020-06,612
Finland,2020-07,202
Finland,2020-08,684
Finland,2020-09,1605
Finland,2020-10,6609
Finland,2020-11,8338
Finland,2020-12,12290
Finland,2021-01,8563
Finland,2021-02,12190
Finland,2021-03,18331
Finland,2021-04,11225
Finland,2021-05,5204
Finland,2021-06,4031
Finland,2021-07,10858
Finland,2021-08,22781
Finland,2021-09,12012
Finland,2021-10,7783
France,2020-01,3
France,2020-02,9
France,2020-03,16665
France,2020-04,107725
France,2020-05,18245
France,2020-06,17589
France,2020-07,18957
France,2020-08,105652
France,2020-09,267231
France,2020-10,987442
France,2020-11,677354
France,2020-12,419900
France,2021-01,511238
France,2021-02,497295
France,2021-03,698080
France,2021-04,961949
France,2021-05,360779
France,2021-06,120090
France,2021-07,360416
France,2021-08,689833
France,2021-09,190607
France,2021-10,61993
Georgia,2020-01,0
Georgia,2020-02,0
Georgia,2020-03,54
Georgia,2020-04,432
Georgia,2020-05,244
Georgia,2020-06,196
Georgia,2020-07,211
Georgia,2020-08,350
Georgia,2020-09,4065
Georgia,2020-10,37027
Georgia,2020-11,93005
Georgia,2020-12,94179
Georgia,2021-01,28588
Georgia,2021-02,12567
Georgia,2021-03,9383
Georgia,2021-04,32653
Georgia,2021-05,31009
Georgia,2021-06,25085
Georgia,2021-07,54795
Georgia,2021-08,142114
Georgia,2021-09,52663
Georgia,2021-10,46193
Germany,2020-01,0
Germany,2020-02,15
Germany,2020-03,24759
Germany,2020-04,130419
Germany,2020-05,23377
Germany,2020-06,15191
Germany,2020-07,11848
Germany,2020-08,36772
Germany,2020-09,42951
Germany,2020-10,259695
Germany,2020-11,508842
Germany,2020-12,721644
Germany,2021-01,446458
Germany,2021-02,225097
Germany,2021-03,335205
Germany,2021-04,643709
Germany,2021-05,255144
Germany,2021-06,49998
Germany,2021-07,40985
Germany,2021-08,238281
Germany,2021-09,244998
Germany,2021-10,122457
Gibraltar,2020-03,15
Gibraltar,2020-04,126
Gibraltar,2020-05,10
Gibraltar,2020-06,26
Gibraltar,2020-07,8
Gibraltar,2020-08,100
Gibraltar,2020-09,94
Gibraltar,2020-10,324
Gibraltar,2020-11,311
Gibraltar,2020-12,1392
Gibraltar,2021-01,1708
Gibraltar,2021-02,125
Gibraltar,2021-03,34
Gibraltar,2021-04,10
Gibraltar,2021-05,10
Gibraltar,2021-06,73
Gibraltar,2021-07,614
Gibraltar,2021-08,358
Gibraltar,2021-09,235
Gibraltar,2021-10,185
Greece,2020-01,0
Greece,2020-02,0
Greece,2020-03,624
Greece,2020-04,1882
Greece,2020-05,372
Greece,2020-06,498
Greece,2020-07,817
Greece,2020-08,5941
Greece,2020-09,7310
Greece,2020-10,23485
Greece,2020-11,63298
Greece,2020-12,35872
Greece,2021-01,16858
Greece,2021-02,34143
Greece,2021-03,62931
Greece,2021-04,92391
Greece,2021-05,54879
Greece,2021-06,24663
Greece,2021-07,68943
Greece,2021-08,105044
Greece,2021-09,61357
Greece,2021-10,32578
Guernsey,2020-03,17
Guernsey,2020-04,230
Guernsey,2020-05,5
Guernsey,2020-06,0
Guernsey,2020-07,0
Guernsey,2020-08,0
Guernsey,2020-09,4
Guernsey,2020-10,14
Guernsey,2020-11,16
Guernsey,2020-12,14
Guernsey,2021-01,239
Guernsey,2021-02,282
Guernsey,2021-03,0
Guernsey,2021-04,1
Guernsey,2021-05,1
Guernsey,2021-06,24
Guernsey,2021-07,109
Guernsey,2021-08,419
Guernsey,2021-09,272
Guernsey,2021-10,170
Holy See,2020-03,1
Holy See,2020-04,8
Holy See,2020-05,3
Holy See,2020-06,0
Holy See,2020-07,0
Holy See,2020-08,0
Holy See,2020-09,0
Holy See,2020-10,15
Holy See,2020-11,0
Holy See,2020-12,0
Holy See,2021-01,0
Holy See,2021-02,0
Holy See,2021-03,0
Holy See,2021-04,0
Holy See,2021-05,0
Holy See,2021-06,0
Holy See,2021-07,0
Holy See,2021-08,0
Holy See,2021-09,0
Holy See,2021-10,0
Hungary,2020-03,167
Hungary,2020-04,2416
Hungary,2020-05,1173
Hungary,2020-06,386
Hungary,2020-07,306
Hungary,2020-08,1513
Hungary,2020-09,18755
Hungary,2020-10,58064
Hungary,2020-11,134342
Hungary,2020-12,111729
Hungary,2021-01,39859
Hungary,2021-02,64215
Hungary,2021-03,208199
Hungary,2021-04,142987
Hungary,2021-05,20427
Hungary,2021-06,3724
Hungary,2021-07,1384
Hungary,2021-08,4042
Hungary,2021-09,11188
Hungary,2021-10,11513
Iceland,2020-01,0
Iceland,2020-02,0
Iceland,2020-03,568
Iceland,2020-04,1224
Iceland,2020-05,12
Iceland,2020-06,17
Iceland,2020-07,26
Iceland,2020-08,258
Iceland,2020-09,518
Iceland,2020-10,2267
Iceland,2020-11,491
Iceland,2020-12,373
Iceland,2021-01,255
Iceland,2021-02,45
Iceland,2021-03,129
Iceland,2021-04,300
Iceland,2021-05,103
Iceland,2021-06,78
Iceland,2021-07,1458
Iceland,2021-08,2941
Iceland,2021-09,895
Iceland,2021-10,656
Ireland,2020-01,0
Ireland,2020-02,0
Ireland,2020-03,906
Ireland,2020-04,18356
Ireland,2020-05,5377
Ireland,2020-06,800
Ireland,2020-07,442
Ireland,2020-08,2879
Ireland,2020-09,6230
Ireland,2020-10,27012
Ireland,2020-11,10239
Ireland,2020-12,29646
Ireland,2021-01,94660
Ireland,2021-02,22956
Ireland,2021-03,14973
Ireland,2021-04,15319
Ireland,2021-05,11673
Ireland,2021-06,12217
Ireland,2021-07,27412
Ireland,2021-08,55722
Ireland,2021-09,36807
Ireland,2021-10,21488
Isle Of Man,2020-03,2
Isle Of Man,2020-04,305
Isle Of Man,2020-05,28
Isle Of Man,2020-06,1
Isle Of Man,2020-07,0
Isle Of Man,2020-08,0
Isle Of Man,2020-09,4
Isle Of Man,2020-10,12
Isle Of Man,2020-11,17
Isle Of Man,2020-12,5
Isle Of Man,2021-01,58
Isle Of Man,2021-02,54
Isle Of Man,2021-03,1080
Isle Of Man,2021-04,24
Isle Of Man,2021-05,3
Isle Of Man,2021-06,53
Isle Of Man,2021-07,3267
Isle Of Man,2021-08,1936
Isle Of Man,2021-09,849
Isle Of Man,2021-10,949
Italy,2020-01,0
Italy,2020-02,132
Italy,2020-03,59006
Italy,2020-04,138537
Italy,2020-05,32183
Italy,2020-06,10452
Italy,2020-07,5808
Italy,2020-08,22100
Italy,2020-09,41652
Italy,2020-10,399465
Italy,2020-11,875843
Italy,2020-12,570268
Italy,2021-01,397586
Italy,2021-02,372233
Italy,2021-03,606792
Italy,2021-04,512705
Italy,2021-05,171241
Italy,2021-06,47314
Italy,2021-07,92031
Italy,2021-08,216092
Italy,2021-09,110594
Italy,2021-10,35865
Jersey,2020-03,15
Jersey,2020-04,266
Jersey,2020-05,25
Jersey,2020-06,13
Jersey,2020-07,13
Jersey,2020-08,42
Jersey,2020-09,26
Jersey,2020-10,174
Jersey,2020-11,354
Jersey,2020-12,1893
Jersey,2021-01,331
Jersey,2021-02,65
Jersey,2021-03,8
Jersey,2021-04,9
Jersey,2021-05,9
Jersey,2021-06,641
Jersey,2021-07,4376
Jersey,2021-08,1240
Jersey,2021-09,560
Jersey,2021-10,389
Kosovo,2020-03,33
Kosovo,2020-04,731
Kosovo,2020-05,268
Kosovo,2020-06,1645
Kosovo,2020-07,4240
Kosovo,2020-08,6417
Kosovo,2020-09,2138
Kosovo,2020-10,4707
Kosovo,2020-11,18878
Kosovo,2020-12,12908
Kosovo,2021-01,8253
Kosovo,2021-02,9012
Kosovo,2021-03,18751
Kosovo,2021-04,17554
Kosovo,2021-05,1870
Kosovo,2021-06,395
Kosovo,2021-07,713
Kosovo,2021-08,44145
Kosovo,2021-09,7542
Kosovo,2021-10,341
Latvia,2020-03,139
Latvia,2020-04,673
Latvia,2020-05,235
Latvia,2020-06,69
Latvia,2020-07,103
Latvia,2020-08,174
Latvia,2020-09,283
Latvia,2020-10,4460
Latvia,2020-11,10839
Latvia,2020-12,25522
Latvia,2021-01,23744
Latvia,2021-02,19945
Latvia,2021-03,14854
Latvia,2021-04,18710
Latvia,2021-05,13348
Latvia,2021-06,4533
Latvia,2021-07,1268
Latvia,2021-08,5619
Latvia,2021-09,17123
Latvia,2021-10,23975
Liechtenstein,2020-03,46
Liechtenstein,2020-04,37
Liechtenstein,2020-05,0
Liechtenstein,2020-06,0
Liechtenstein,2020-07,4
Liechtenstein,2020-08,21
Liechtenstein,2020-09,9
Liechtenstein,2020-10,434
Liechtenstein,2020-11,722
Liechtenstein,2020-12,949
Liechtenstein,2021-01,275
Liechtenstein,2021-02,79
Liechtenstein,2021-03,88
Liechtenstein,2021-04,284
Liechtenstein,2021-05,64
Liechtenstein,2021-06,35
Liechtenstein,2021-07,42
Liechtenstein,2021-08,254
Liechtenstein,2021-09,108
Liechtenstein,2021-10,49
Lithuania,2020-01,0
Lithuania,2020-02,0
Lithuania,2020-03,143
Lithuania,2020-04,1295
Lithuania,2020-05,185
Lithuania,2020-06,193
Lithuania,2020-07,192
Lithuania,2020-08,866
Lithuania,2020-09,1511
Lithuania,2020-10,11334
Lithuania,2020-11,45606
Lithuania,2020-12,86662
Lithuania,2021-01,34906
Lithuania,2021-02,16505
Lithuania,2021-03,14967
Lithuania,2021-04,35972
Lithuania,2021-05,24439
Lithuania,2021-06,4174
Lithuania,2021-07,4706
Lithuania,2021-08,20036
Lithuania,2021-09,36388
Lithuania,2021-10,32505
Luxembourg,2020-01,0
Luxembourg,2020-02,0
Luxembourg,2020-03,798
Luxembourg,2020-04,2925
Luxembourg,2020-05,269
Luxembourg,2020-06,250
Luxembourg,2020-07,2030
Luxembourg,2020-08,353
Luxembourg,2020-09,1732
Luxembourg,2020-10,10425
Luxembourg,2020-11,15191
Luxembourg,2020-12,12946
Luxembourg,2021-01,3750
Luxembourg,2021-02,4756
Luxembourg,2021-03,5330
Luxembourg,2021-04,6642
Luxembourg,2021-05,2492
Luxembourg,2021-06,1142
Luxembourg,2021-07,2839
Luxembourg,2021-08,2232
Luxembourg,2021-09,2224
Luxembourg,2021-10,1394
Malta,2020-03,107
Malta,2020-04,342
Malta,2020-05,161
Malta,2020-06,59
Malta,2020-07,30
Malta,2020-08,1186
Malta,2020-09,1122
Malta,2020-10,3383
Malta,2020-11,3472
Malta,2020-12,3357
Malta,2021-01,4652
Malta,2021-02,5076
Malta,2021-03,5991
Malta,2021-04,1388
Malta,2021-05,162
Malta,2021-06,132
Malta,2021-07,3819
Malta,2021-08,2073
Malta,2021-09,709
Malta,2021-10,245
Moldova,2020-03,94
Moldova,2020-04,3314
Moldova,2020-05,3685
Moldova,2020-06,9157
Moldova,2020-07,6784
Moldova,2020-08,13666
Moldova,2020-09,14175
Moldova,2020-10,25707
Moldova,2020-11,30435
Moldova,2020-12,38856
Moldova,2021-01,13931
Moldova,2021-02,25649
Moldova,2021-03,41068
Moldova,2021-04,24814
Moldova,2021-05,3810
Moldova,2021-06,1825
Moldova,2021-07,2579
Moldova,2021-08,10670
Moldova,2021-09,27013
Moldova,2021-10,19297
Monaco,2020-01,0
Monaco,2020-02,0
Monaco,2020-03,20
Monaco,2020-04,45
Monaco,2020-05,2
Monaco,2020-06,3
Monaco,2020-07,11
Monaco,2020-08,50
Monaco,2020-09,79
Monaco,2020-10,156
Monaco,2020-11,242
Monaco,2020-12,299
Monaco,2021-01,582
Monaco,2021-02,467
Monaco,2021-03,303
Monaco,2021-04,198
Monaco,2021-05,47
Monaco,2021-06,83
Monaco,2021-07,304
Monaco,2021-08,349
Monaco,2021-09,77
Monaco,2021-10,46
Montenegro,2020-03,21
Montenegro,2020-04,300
Montenegro,2020-05,3
Montenegro,2020-06,157
Montenegro,2020-07,2088
Montenegro,2020-08,2221
Montenegro,2020-09,5523
Montenegro,2020-10,8401
Montenegro,2020-11,16167
Montenegro,2020-12,14314
Montenegro,2021-01,12464
Montenegro,2021-02,14174
Montenegro,2021-03,14250
Montenegro,2021-04,7635
Montenegro,2021-05,1887
Montenegro,2021-06,722
Montenegro,2021-07,1765
Montenegro,2021-08,16012
Montenegro,2021-09,14592
