country,weekly_count,year_week,year_month
Armenia,6772,2021-39,2021-09
Armenia,7640,2021-40,2021-10
Armenia,10226,2021-41,2021-10
Austria,0,2020-01,2020-01
Austria,0,2020-02,2020-01
Austria,0,2020-03,2020-01
Austria,0,2020-04,2020-01
Austria,0,2020-05,2020-02
Austria,0,2020-06,2020-02
Austria,0,2020-07,2020-02
Austria,0,2020-08,2020-02
Austria,14,2020-09,2020-03
Austria,88,2020-10,2020-03
Austria,758,2020-11,2020-03
Austria,2771,2020-12,2020-03
Austria,5182,2020-13,2020-04
Austria,3170,2020-14,2020-04
Austria,1954,2020-15,2020-04
Austria,773,2020-16,2020-04
Austria,479,2020-17,2020-04
Austria,349,2020-18,2020-05
Austria,249,2020-19,2020-05
Austria,367,2020-20,2020-05
Austria,285,2020-21,2020-05
Austria,203,2020-22,2020-06
Austria,226,2020-23,2020-06
Austria,170,2020-24,2020-06
Austria,247,2020-25,2020-06
Austria,340,2020-26,2020-06
Austria,644,2020-27,2020-07
Austria,578,2020-28,2020-07
Austria,724,2020-29,2020-07
Austria,915,2020-30,2020-07
Austria,823,2020-31,2020-08
Austria,702,2020-32,2020-08
Austria,1362,2020-33,2020-08
Austria,1866,2020-34,2020-08
Austria,1979,2020-35,2020-08
Austria,1976,2020-36,2020-09
Austria,4141,2020-37,2020-09
Austria,5222,2020-38,2020-09
Austria,4909,2020-39,2020-09
Austria,5152,2020-40,2020-10
Austria,7365,2020-41,2020-10
Austria,9574,2020-42,2020-10
Austria,16979,2020-43,2020-10
Austria,28574,2020-44,2020-10
Austria,41398,2020-45,2020-11
Austria,50986,2020-46,2020-11
Austria,42630,2020-47,2020-11
Austria,32058,2020-48,2020-11
Austria,22794,2020-49,2020-12
Austria,19060,2020-50,2020-12
Austria,16186,2020-51,2020-12
Austria,15164,2020-52,2020-12
Austria,13188,2020-53,2020-12
Austria,15133,2021-01,2021-01
Austria,11406,2021-02,2021-01
Austria,10421,2021-03,2021-01
Austria,9451,2021-04,2021-01
Austria,10467,2021-05,2021-02
Austria,8442,2021-06,2021-02
Austria,11848,2021-07,2021-02
Austria,14370,2021-08,2021-02
