Name,Position,Age,Team_from,League_from,Country_From,Team_to,League_to,Country_to,Season,Market_value,Transfer_fee
Charlie Austin,Centre-Forward,24,Burnley,Championship,Championship,QPR,Championship,Championship,2013-2014,4500000,4650000
Aldo de Nigris,Centre-Forward,29,Monterrey,Liga MX Clausura,Mexico,Chivas,Liga MX Clausura,Mexico,2013-2014,3500000,4600000
Mattia Destro,Centre-Forward,22,Genoa,Serie A,Italy,AS Roma,Serie A,Italy,2013-2014,11500000,4500000
Scott Parker,Central Midfield,32,Spurs,Premier League,England,Fulham,Premier League,England,2013-2014,6000000,4500000
Mevlüt Erdinc,Centre-Forward,26,Stade Rennais,Ligue 1,France,Saint-Étienne,Ligue 1,France,2013-2014,6000000,4500000
Domenico Berardi,Right Winger,19,Sassuolo,Serie A,Italy,Juventus,Serie A,Italy,2013-2014,6000000,4500000
Michal Kadlec,Left-Back,28,Bay. Leverkusen,1.Bundesliga,German,Fenerbahce,Süper Lig,Turkey,2013-2014,5000000,4500000
Ilombe Mboyo,Centre-Forward,26,KAA Gent,Jupiler Pro League,Belgium,KRC Genk,Jupiler Pro League,Belgium,2013-2014,5000000,4500000
Daniel Caligiuri,Right Midfield,25,SC Freiburg,1.Bundesliga,German,VfL Wolfsburg,1.Bundesliga,Germany,2013-2014,4500000,4500000
Luca Marrone,Defensive Midfield,23,Juventus,Serie A,Italy,Sassuolo,Serie A,Italy,2013-2014,4000000,4500000
Ljubomir Fejsa,Defensive Midfield,25,Olympiacos,Super League,Super League,Benfica,Liga NOS,Portugal,2013-2014,2500000,4500000
Ante Rebic,Left Winger,19,RNK Split,1.HNL,Croatia,Fiorentina,Serie A,Italy,2013-2014,1000000,4500000
Long Zheng,Left Midfield,25,QD Jonoon,Super League,Super League,GZ Evergrande,Super League,Super League,2013-2014,475000,4500000
Angeliño,Left-Back,16,Depor Jugend,Spain,Spain,Man City U18,England,England,2013-2014,NA,4500000
Ignacio Scocco,Centre-Forward,28,Al-Ain FC,UAE Gulf League,UAE Gulf League,Internacional,Serie A,Italy,2013-2014,6000000,4250000
Ragnar Sigurdsson,Centre-Back,27,FC Copenhagen,Superligaen,Superligaen,Krasnodar,Premier Liga,Russia,2013-2014,1750000,4250000
Luca Cigarini,Defensive Midfield,27,SSC Napoli,Serie A,Italy,Atalanta,Serie A,Italy,2013-2014,7500000,4200000
Pablo Armero,Left-Back,26,Udinese Calcio,Serie A,Italy,SSC Napoli,Serie A,Italy,2013-2014,9000000,4000000
Serdar Tasci,Centre-Back,26,VfB Stuttgart,1.Bundesliga,German,Spartak Moscow,Premier Liga,Russia,2013-2014,9000000,4000000
Vladimír Darida,Central Midfield,23,Viktoria Plzen,HET Liga,HET Liga,SC Freiburg,1.Bundesliga,Germany,2013-2014,7500000,4000000
Michel Bastos,Left Midfield,30,Olympique Lyon,Ligue 1,France,Al-Ain FC,UAE Gulf League,UAE Gulf League,2013-2014,7000000,4000000
Lisandro López,Centre-Back,23,Arsenal FC,Torneo Final,Argentina,Benfica,Liga NOS,Portugal,2013-2014,7000000,4000000
Nicolas Isimat-Mirin,Centre-Back,21,Valenciennes FC,Ligue 1,France,Monaco,Ligue 1,France,2013-2014,4500000,4000000
Kike Sola,Centre-Forward,27,CA Osasuna,LaLiga,Spain,Athletic Bilbao,LaLiga,Spain,2013-2014,4000000,4000000
