Name,Position,Age,Team_from,League_from,Country_From,Team_to,League_to,Country_to,Season,Market_value,Transfer_fee
Luís Figo,Right Winger,27,FC Barcelona,LaLiga,Spain,Real Madrid,LaLiga,Spain,2000-2001,NA,60000000
Hernán Crespo,Centre-Forward,25,Parma,Serie A,Italy,Lazio,Serie A,Italy,2000-2001,NA,56810000
Marc Overmars,Left Winger,27,Arsenal,Premier League,England,FC Barcelona,LaLiga,Spain,2000-2001,NA,40000000
Gabriel Batistuta,Centre-Forward,31,Fiorentina,Serie A,Italy,AS Roma,Serie A,Italy,2000-2001,NA,36150000
Nicolas Anelka,Centre-Forward,21,Real Madrid,LaLiga,Spain,Paris SG,Ligue 1,France,2000-2001,NA,34500000
Rio Ferdinand,Centre-Back,22,West Ham,Premier League,England,Leeds,Premier League,England,2000-2001,NA,26000000
Flávio Conceicao,Central Midfield,26,Dep. La Coruña,LaLiga,Spain,Real Madrid,LaLiga,Spain,2000-2001,NA,25000000
Savo Milosevic,Centre-Forward,26,Real Zaragoza,LaLiga,Spain,Parma,Serie A,Italy,2000-2001,NA,25000000
David Trézéguet,Centre-Forward,22,Monaco,Ligue 1,France,Juventus,Serie A,Italy,2000-2001,NA,23240000
Claudio López,Centre-Forward,25,Valencia CF,LaLiga,Spain,Lazio,Serie A,Italy,2000-2001,NA,23000000
Jimmy Floyd Hasselbaink,Centre-Forward,28,Atlético Madrid,LaLiga2,Spain,Chelsea,Premier League,England,2000-2001,NA,22500000
Gerard López,Central Midfield,21,Valencia CF,LaLiga,Spain,FC Barcelona,LaLiga,Spain,2000-2001,NA,21600000
Lucas,Centre-Forward,21,Atlético-PR,Brazil,Brazil,Stade Rennais,Ligue 1,France,2000-2001,NA,21300000
Pablo Aimar,Attacking Midfield,21,River Plate,Argentina,Argentina,Valencia CF,LaLiga,Spain,2000-2001,NA,21250000
Wálter Samuel,Centre-Back,22,Boca Juniors,Argentina,Argentina,AS Roma,Serie A,Italy,2000-2001,NA,20800000
Shabani Nonda,Centre-Forward,23,Stade Rennais,Ligue 1,France,Monaco,Ligue 1,France,2000-2001,NA,20000000
Robbie Keane,Centre-Forward,19,Coventry City,Premier League,England,Inter,Serie A,Italy,2000-2001,NA,19500000
José Mari,Centre-Forward,21,Atlético Madrid,LaLiga2,Spain,AC Milan,Serie A,Italy,2000-2001,NA,19000000
Jonathan Zebina,Centre-Back,21,Cagliari Calcio,Serie B,Italy,AS Roma,Serie A,Italy,2000-2001,NA,18400000
Émerson,Defensive Midfield,24,Bay. Leverkusen,1.Bundesliga,German,AS Roma,Serie A,Italy,2000-2001,NA,18000000
Tore André Flo,Centre-Forward,27,Chelsea,Premier League,England,Rangers,Scotland,Scotland,2000-2001,NA,18000000
Sergiy Rebrov,Second Striker,26,Dynamo Kyiv,Premier Liga,Russia,Spurs,Premier League,England,2000-2001,NA,18000000
Angelo Peruzzi,Goalkeeper,30,Inter,Serie A,Italy,Lazio,Serie A,Italy,2000-2001,NA,17900000
Diego Tristán,Centre-Forward,24,RCD Mallorca,LaLiga,Spain,Dep. La Coruña,LaLiga,Spain,2000-2001,NA,17750000
Sylvain Wiltord,Second Striker,26,G. Bordeaux,Ligue 1,France,Arsenal,Premier League,England,2000-2001,NA,17500000
Fernando Redondo,Defensive Midfield,31,Real Madrid,LaLiga,Spain,AC Milan,Serie A,Italy,2000-2001,NA,17500000
Jardel,Centre-Forward,26,FC Porto,Liga NOS,Portugal,Galatasaray,Süper Lig,Turkey,2000-2001,NA,17050000
Nuno Gomes,Centre-Forward,24,Benfica,Liga NOS,Portugal,Fiorentina,Serie A,Italy,2000-2001,NA,17000000
Sérgio Conceição,Right Winger,25,Lazio,Serie A,Italy,Parma,Serie A,Italy,2000-2001,NA,17000000
Alfonso,Centre-Forward,27,Real Betis,LaLiga2,Spain,FC Barcelona,LaLiga,Spain,2000-2001,NA,16500000
Francisco Farinós,Defensive Midfield,22,Valencia CF,LaLiga,Spain,Inter,Serie A,Italy,2000-2001,NA,16250000
Kakhaber Kaladze,Centre-Back,22,Dynamo Kyiv,Premier Liga,Russia,AC Milan,Serie A,Italy,2000-2001,NA,16000000
Francis Jeffers,Centre-Forward,20,Everton,Premier League,England,Arsenal,Premier League,England,2000-2001,NA,15300000
Emmanuel Petit,Defensive Midfield,29,Arsenal,Premier League,England,FC Barcelona,LaLiga,Spain,2000-2001,NA,15000000
Tomás Rosicky,Attacking Midfield,20,Sparta Praha,Czech Republic,Czech Republic,Bor. Dortmund,1.Bundesliga,Germany,2000-2001,NA,14500000
Catanha,Centre-Forward,28,Málaga CF,LaLiga,Spain,Celta de Vigo,LaLiga,Spain,2000-2001,NA,14420000
Juan Pablo Ángel,Centre-Forward,25,River Plate,Argentina,Argentina,Aston Villa,Premier League,England,2000-2001,NA,14400000
Mateja Kezman,Centre-Forward,21,Partizan,Serbia,Serbia,PSV Eindhoven,Eredivisie,Netherlands,2000-2001,NA,14000000
Claude Makélélé,Defensive Midfield,27,Celta de Vigo,LaLiga,Spain,Real Madrid,LaLiga,Spain,2000-2001,NA,14000000
Aldo Duscher,Defensive Midfield,21,Sporting CP,Liga NOS,Portugal,Dep. La Coruña,LaLiga,Spain,2000-2001,NA,13000000
Ugo Ehiogu,Centre-Back,27,Aston Villa,Premier League,England,Middlesbrough,Premier League,England,2000-2001,NA,12200000
Jesper Grönkjaer,Left Winger,23,AFC Ajax,Eredivisie,Netherlands,Chelsea,Premier League,England,2000-2001,NA,11850000
Fabien Barthez,Goalkeeper,29,Monaco,Ligue 1,France,Man Utd,Premier League,England,2000-2001,NA,11700000
Edmílson,Centre-Back,23,São Paulo,Brazil,Brazil,Olympique Lyon,Ligue 1,France,2000-2001,NA,11000000
Stéphane Dalmat,Central Midfield,21,Marseille,Ligue 1,France,Paris SG,Ligue 1,France,2000-2001,NA,10750000
Laurén,Right-Back,23,RCD Mallorca,LaLiga,Spain,Arsenal,Premier League,England,2000-2001,NA,10700000
Pedro Munitis,Second Striker,25,Racing,LaLiga,Spain,Real Madrid,LaLiga,Spain,2000-2001,NA,10500000
Olivier Dacourt,Defensive Midfield,25,Lens,Ligue 1,France,Leeds,Premier League,England,2000-2001,NA,10500000
Carl Cort,Centre-Forward,22,MK Dons,England,England,Newcastle,Premier League,England,2000-2001,NA,10500000
Stéphane Porato,Goalkeeper,26,Marseille,Ligue 1,France,Monaco,Ligue 1,France,2000-2001,NA,10500000
Robert Pirès,Left Midfield,26,Marseille,Ligue 1,France,Arsenal,Premier League,England,2000-2001,NA,9800000
Émerson,Defensive Midfield,28,CD Tenerife,LaLiga2,Spain,Dep. La Coruña,LaLiga,Spain,2000-2001,NA,9600000
Chris Sutton,Centre-Forward,27,Chelsea,Premier League,England,Celtic,Scotland,Scotland,2000-2001,NA,9500000
Claudio Husaín,Defensive Midfield,25,River Plate,Argentina,Argentina,SSC Napoli,Serie A,Italy,2000-2001,NA,9300000
Craig Bellamy,Left Winger,21,Norwich,England,England,Coventry City,Premier League,England,2000-2001,NA,9250000
Mark Viduka,Centre-Forward,24,Celtic,Scotland,Scotland,Leeds,Premier League,England,2000-2001,NA,9150000
Pauleta,Centre-Forward,27,Dep. La Coruña,LaLiga,Spain,G. Bordeaux,Ligue 1,France,2000-2001,NA,9100000
Alpay Özalan,Centre-Back,27,Fenerbahce,Süper Lig,Turkey,Aston Villa,Premier League,England,2000-2001,NA,9000000
Christian Ziege,Left Midfield,28,Middlesbrough,Premier League,England,Liverpool,Premier League,England,2000-2001,NA,9000000
Nick Barmby,Left Midfield,26,Everton,Premier League,England,Liverpool,Premier League,England,2000-2001,NA,9000000
Marc-Vivien Foé,Central Midfield,25,West Ham,Premier League,England,Olympique Lyon,Ligue 1,France,2000-2001,NA,9000000
Lúcio,Centre-Back,22,Internacional,Brazil,Brazil,Bay. Leverkusen,1.Bundesliga,Germany,2000-2001,NA,8750000
Christian Karembeu,Defensive Midfield,29,Real Madrid,LaLiga,Spain,Middlesbrough,Premier League,England,2000-2001,NA,8750000
Neil Lennon,Central Midfield,29,Leicester,Premier League,England,Celtic,Scotland,Scotland,2000-2001,NA,8630000
John Carew,Centre-Forward,20,Rosenborg BK,Eliteserien,Eliteserien,Valencia CF,LaLiga,Spain,2000-2001,NA,8500000
Mario Stanic,Right Winger,28,Parma,Serie A,Italy,Chelsea,Premier League,England,2000-2001,NA,8400000
Igor Biscan,Centre-Back,22,Dinamo Zagreb,Croatia,Croatia,Liverpool,Premier League,England,2000-2001,NA,8250000
Julio Cruz,Centre-Forward,25,Feyenoord,Eredivisie,Netherlands,Bologna,Serie A,Italy,2000-2001,NA,8200000
Patrick Müller,Centre-Back,23,Grasshoppers,Super League,Super League,Olympique Lyon,Ligue 1,France,2000-2001,NA,8000000
Zlatko Zahovic,Attacking Midfield,29,Olympiacos,Super League,Super League,Valencia CF,LaLiga,Spain,2000-2001,NA,8000000
Sabri Lamouchi,Central Midfield,28,Monaco,Ligue 1,France,Parma,Serie A,Italy,2000-2001,NA,7850000
Willy Sagnol,Right-Back,23,Monaco,Ligue 1,France,Bayern Munich,1.Bundesliga,Germany,2000-2001,NA,7700000
Johan Micoud,Attacking Midfield,26,G. Bordeaux,Ligue 1,France,Parma,Serie A,Italy,2000-2001,NA,7600000
Martín Palermo,Centre-Forward,27,Boca Juniors,Argentina,Argentina,Villarreal CF,LaLiga,Spain,2000-2001,NA,7600000
Ben Thatcher,Left-Back,24,MK Dons,England,England,Spurs,Premier League,England,2000-2001,NA,7540000
Eidur Gudjohnsen,Centre-Forward,21,Bolton,England,England,Chelsea,Premier League,England,2000-2001,NA,7500000
Bruno Cirillo,Centre-Back,23,Reggina,Serie A,Italy,Inter,Serie A,Italy,2000-2001,NA,7500000
Sunday Oliseh,Defensive Midfield,25,Juventus,Serie A,Italy,Bor. Dortmund,1.Bundesliga,Germany,2000-2001,NA,7500000
Roger,Attacking Midfield,21,Fluminense,Brazil,Brazil,Benfica,Liga NOS,Portugal,2000-2001,NA,7500000
Dino Baggio,Defensive Midfield,29,Parma,Serie A,Italy,Lazio,Serie A,Italy,2000-2001,NA,7500000
Diego Placente,Left-Back,23,River Plate,Argentina,Argentina,Bay. Leverkusen,1.Bundesliga,Germany,2000-2001,NA,7300000
David Sesa,Second Striker,26,Lecce,Serie A,Italy,SSC Napoli,Serie A,Italy,2000-2001,NA,7250000
Bert Konterman,Centre-Back,29,Feyenoord,Eredivisie,Netherlands,Rangers,Scotland,Scotland,2000-2001,NA,7250000
Dominic Matteo,Left-Back,26,Liverpool,Premier League,England,Leeds,Premier League,England,2000-2001,NA,7130000
Mauro Germán Camoranesi,Right Midfield,24,CD Cruz Azul,Mexico,Mexico,Hellas Verona,Serie A,Italy,2000-2001,NA,7000000
Rodrigo Tello,Left Midfield,21,U. de Chile,Chile,Chile,Sporting CP,Liga NOS,Portugal,2000-2001,NA,7000000
Luís Fabiano,Centre-Forward,19,Ponte Preta,Brazil,Brazil,Stade Rennais,Ligue 1,France,2000-2001,NA,7000000
Pierre van Hooijdonk,Centre-Forward,30,Vitesse,Eredivisie,Netherlands,Benfica,Liga NOS,Portugal,2000-2001,NA,6800000
Hermann Hreidarsson,Centre-Back,25,MK Dons,England,England,Ipswich,Premier League,England,2000-2001,NA,6750000
Émerson Thome,Centre-Back,28,Chelsea,Premier League,England,Sunderland,Premier League,England,2000-2001,NA,6700000
Hakan Sükür,Centre-Forward,28,Galatasaray,Süper Lig,Turkey,Inter,Serie A,Italy,2000-2001,NA,6500000
Philippe Delaye,Central Midfield,25,Montpellier,Ligue 2,France,Stade Rennais,Ligue 1,France,2000-2001,NA,6500000
Alex Nyarko,Centre-Back,26,Lens,Ligue 1,France,Everton,Premier League,England,2000-2001,NA,6300000
Bob Peeters,Centre-Forward,26,Roda JC,Eredivisie,Netherlands,Vitesse,Eredivisie,Netherlands,2000-2001,NA,6300000
César Sánchez,Goalkeeper,28,Real Valladolid,LaLiga,Spain,Real Madrid,LaLiga,Spain,2000-2001,NA,6250000
Carlos Gamarra,Centre-Back,29,Atlético Madrid,LaLiga2,Spain,Flamengo,Brazil,Brazil,2000-2001,NA,6250000
Patrick M'Boma,Centre-Forward,29,Cagliari Calcio,Serie B,Italy,Parma,Serie A,Italy,2000-2001,NA,6100000
Claus Jensen,Attacking Midfield,23,Bolton,England,England,Charlton,Premier League,England,2000-2001,NA,6000000
Lucas Bernardi,Central Midfield,22,Newell's,Argentina,Argentina,Marseille,Ligue 1,France,2000-2001,NA,6000000
Alain Goma,Centre-Back,28,Newcastle,Premier League,England,Fulham,England,England,2000-2001,NA,6000000
Frédéric Déhu,Centre-Back,27,FC Barcelona,LaLiga,Spain,Paris SG,Ligue 1,France,2000-2001,NA,6000000
Esteban Fuertes,Centre-Forward,27,Derby,Premier League,England,Lens,Ligue 1,France,2000-2001,NA,6000000
Milan Rapaic,Left Midfield,26,Perugia,Serie A,Italy,Fenerbahce,Süper Lig,Turkey,2000-2001,NA,6000000
Sebastián Cejas,Goalkeeper,26,Newell's,Argentina,Argentina,AS Roma,Serie A,Italy,2000-2001,NA,6000000
Zé Elias,Central Midfield,23,Bologna,Serie A,Italy,Olympiacos,Super League,Super League,2000-2001,NA,5800000
Joos Valgaeren,Centre-Back,24,Roda JC,Eredivisie,Netherlands,Celtic,Scotland,Scotland,2000-2001,NA,5700000
Bülent Akin,Defensive Midfield,21,Denizlispor,Süper Lig,Turkey,Galatasaray,Süper Lig,Turkey,2000-2001,NA,5500000
Ronald de Boer,Right Winger,30,FC Barcelona,LaLiga,Spain,Rangers,Scotland,Scotland,2000-2001,NA,5500000
Fernando Ricksen,Right-Back,23,AZ Alkmaar,Eredivisie,Netherlands,Rangers,Scotland,Scotland,2000-2001,NA,5400000
Duncan Ferguson,Centre-Forward,28,Newcastle,Premier League,England,Everton,Premier League,England,2000-2001,NA,5400000
Giorgi Demetradze,Centre-Forward,24,Dynamo Kyiv,Premier Liga,Russia,Real Sociedad,LaLiga,Spain,2000-2001,NA,5400000
Christian Bassedas,Attacking Midfield,27,Vélez Sarsfield,Argentina,Argentina,Newcastle,Premier League,England,2000-2001,NA,5300000
José Luis Chilavert,Goalkeeper,35,Vélez Sarsfield,Argentina,Argentina,R. Strasbourg,Ligue 1,France,2000-2001,NA,5300000
Roberto Ayala,Centre-Back,27,AC Milan,Serie A,Italy,Valencia CF,LaLiga,Spain,2000-2001,NA,5000000
Viorel Moldovan,Centre-Forward,28,Fenerbahce,Süper Lig,Turkey,FC Nantes,Ligue 1,France,2000-2001,NA,5000000
Vratislav Gresko,Left-Back,23,Bay. Leverkusen,1.Bundesliga,German,Inter,Serie A,Italy,2000-2001,NA,5000000
Giorgi Kinkladze,Attacking Midfield,27,AFC Ajax,Eredivisie,Netherlands,Derby,Premier League,England,2000-2001,NA,5000000
Serkan Aykut,Centre-Forward,25,Samsunspor,Süper Lig,Turkey,Galatasaray,Süper Lig,Turkey,2000-2001,NA,5000000
Fernandão,Centre-Forward,22,Goiás EC,Brazil,Brazil,Marseille,Ligue 1,France,2000-2001,NA,5000000
Haim Revivo,Attacking Midfield,28,Celta de Vigo,LaLiga,Spain,Fenerbahce,Süper Lig,Turkey,2000-2001,NA,5000000
Vicente,Left Winger,18,Levante UD,LaLiga2,Spain,Valencia CF,LaLiga,Spain,2000-2001,NA,4800000
Julio Arca,Central Midfield,19,Argentinos,Argentina,Argentina,Sunderland,Premier League,England,2000-2001,NA,4700000
Richard Dunne,Centre-Back,21,Everton,Premier League,England,Man City,Premier League,England,2000-2001,NA,4500000
Gary Rowett,Right-Back,26,Birmingham,England,England,Leicester,Premier League,England,2000-2001,NA,4500000
Richard Núñez,Attacking Midfield,25,Danubio FC,Uruguay,Uruguay,Grasshoppers,Super League,Super League,2000-2001,NA,4500000
David Thompson,Right Midfield,22,Liverpool,Premier League,England,Coventry City,Premier League,England,2000-2001,NA,4500000
Alessandro Pistone,Left-Back,24,Newcastle,Premier League,England,Everton,Premier League,England,2000-2001,NA,4500000
Joseph-Désiré Job,Centre-Forward,22,Lens,Ligue 1,France,Middlesbrough,Premier League,England,2000-2001,NA,4500000
Radostin Kishishev,Defensive Midfield,25,Litex Lovetch,Bulgaria,Bulgaria,Charlton,Premier League,England,2000-2001,NA,4500000
Bernard Diomède,Left Winger,26,AJ Auxerre,Ligue 1,France,Liverpool,Premier League,England,2000-2001,NA,4500000
Sixto Peralta,Central Midfield,21,Racing Club,Argentina,Argentina,Inter,Serie A,Italy,2000-2001,NA,4500000
David Johnson,Left Winger,24,Ipswich,Premier League,England,Nottm Forest,England,England,2000-2001,NA,4500000
Kennet Andersson,Centre-Forward,32,Bologna,Serie A,Italy,Fenerbahce,Süper Lig,Turkey,2000-2001,NA,4500000
Marquinhos,Attacking Midfield,18,Avaí FC,Brazil,Brazil,Bay. Leverkusen,1.Bundesliga,Germany,2000-2001,NA,4500000
Alan Thompson,Left Midfield,26,Aston Villa,Premier League,England,Celtic,Scotland,Scotland,2000-2001,NA,4400000
Jonatan Johansson,Centre-Forward,24,Rangers,Scotland,Scotland,Charlton,Premier League,England,2000-2001,NA,4300000
Rodolfo Arruabarrena,Left-Back,24,Boca Juniors,Argentina,Argentina,Villarreal CF,LaLiga,Spain,2000-2001,NA,4200000
Rigobert Song,Centre-Back,24,Liverpool,Premier League,England,West Ham,Premier League,England,2000-2001,NA,4100000
José Francisco Molina,Goalkeeper,29,Atlético Madrid,LaLiga2,Spain,Dep. La Coruña,LaLiga,Spain,2000-2001,NA,4100000
Jörg Heinrich,Left Midfield,30,Fiorentina,Serie A,Italy,Bor. Dortmund,1.Bundesliga,Germany,2000-2001,NA,4100000
Adrian Mutu,Centre-Forward,21,Inter,Serie A,Italy,Hellas Verona,Serie A,Italy,2000-2001,NA,4000000
Fernando Meira,Centre-Back,22,Vit. Guimarães,Liga NOS,Portugal,Benfica,Liga NOS,Portugal,2000-2001,NA,4000000
Gianni Guigou,Defensive Midfield,25,Nacional,Uruguay,Uruguay,AS Roma,Serie A,Italy,2000-2001,NA,4000000
Richard Dutruel,Goalkeeper,27,Celta de Vigo,LaLiga,Spain,FC Barcelona,LaLiga,Spain,2000-2001,NA,4000000
Pascal Nouma,Centre-Forward,28,Lens,Ligue 1,France,Besiktas,Süper Lig,Turkey,2000-2001,NA,4000000
Craig Hignett,Right Winger,30,Barnsley FC,England,England,Blackburn,England,England,2000-2001,NA,4000000
Zoran Mirkovic,Right-Back,28,Juventus,Serie A,Italy,Fenerbahce,Süper Lig,Turkey,2000-2001,NA,4000000
Charles Amoah,Centre-Forward,25,FC St. Gallen,Super League,Super League,Sturm Graz,Bundesliga,Bundesliga,2000-2001,NA,3930000
Niclas Alexandersson,Right Midfield,28,Sheff Wed,England,England,Everton,Premier League,England,2000-2001,NA,3800000
Darren Huckerby,Right Winger,24,Leeds,Premier League,England,Man City,Premier League,England,2000-2001,NA,3800000
David Hopkin,Right Midfield,29,Leeds,Premier League,England,Bradford City,Premier League,England,2000-2001,NA,3750000
Alf-Inge Haland,Defensive Midfield,27,Leeds,Premier League,England,Man City,Premier League,England,2000-2001,NA,3750000
Lomana LuaLua,Second Striker,19,Colchester Utd.,England,England,Newcastle,Premier League,England,2000-2001,NA,3750000
Steve Watson,Right Midfield,26,Aston Villa,Premier League,England,Everton,Premier League,England,2000-2001,NA,3750000
Lee Carsley,Defensive Midfield,26,Blackburn,England,England,Coventry City,Premier League,England,2000-2001,NA,3750000
Don Hutchison,Attacking Midfield,29,Everton,Premier League,England,Sunderland,Premier League,England,2000-2001,NA,3750000
Didier Deschamps,Defensive Midfield,31,Chelsea,Premier League,England,Valencia CF,LaLiga,Spain,2000-2001,NA,3500000
Santiago Solari,Left Midfield,23,Atlético Madrid,LaLiga2,Spain,Real Madrid,LaLiga,Spain,2000-2001,NA,3500000
Thomas Gravesen,Defensive Midfield,24,Hamburger SV,1.Bundesliga,German,Everton,Premier League,England,2000-2001,NA,3500000
Jeong-hwan Ahn,Centre-Forward,23,Busan IPark,"Korea, South","Korea, South",Perugia,Serie A,Italy,2000-2001,NA,3500000
Vasilios Tsiartas,Attacking Midfield,27,Sevilla FC,LaLiga2,Spain,AEK Athens,Super League,Super League,2000-2001,NA,3500000
Stephen Hughes,Defensive Midfield,23,Arsenal,Premier League,England,Everton,Premier League,England,2000-2001,NA,3500000
Marc Wilmots,Attacking Midfield,31,FC Schalke 04,1.Bundesliga,German,G. Bordeaux,Ligue 1,France,2000-2001,NA,3500000
Alen Boksic,Centre-Forward,30,Lazio,Serie A,Italy,Middlesbrough,Premier League,England,2000-2001,NA,3450000
Geoff Horsfield,Centre-Forward,26,Fulham,England,England,Birmingham,England,England,2000-2001,NA,3380000
Louis Saha,Centre-Forward,21,FC Metz,Ligue 1,France,Fulham,England,England,2000-2001,NA,3150000
Marcus Bent,Centre-Forward,22,Sheffield Utd.,England,England,Blackburn,England,England,2000-2001,NA,3150000
Vratislav Lokvenc,Centre-Forward,26,Sparta Praha,Czech Republic,Czech Republic,1.FC K'lautern,1.Bundesliga,Germany,2000-2001,NA,3150000
Aleksey Smertin,Defensive Midfield,25,Loko Moscow,Premier Liga,Russia,G. Bordeaux,Ligue 1,France,2000-2001,NA,3000000
Stjepan Tomas,Centre-Back,24,Dinamo Zagreb,Croatia,Croatia,Vicenza,Serie A,Italy,2000-2001,NA,3000000
Jason Roberts,Centre-Forward,22,Bristol Rovers,England,England,West Brom,England,England,2000-2001,NA,3000000
Emmanuel Olisadebe,Centre-Forward,22,Pol. Warsaw,Ekstraklasa,Ekstraklasa,Panathinaikos,Super League,Super League,2000-2001,NA,3000000
Danny Higginbotham,Centre-Back,21,Man Utd,Premier League,England,Derby,Premier League,England,2000-2001,NA,3000000
Andrew O'Brien,Centre-Back,21,Bradford City,Premier League,England,Newcastle,Premier League,England,2000-2001,NA,3000000
Antonio Pacheco,Second Striker,24,Peñarol,Uruguay,Uruguay,Inter,Serie A,Italy,2000-2001,NA,3000000
Noel Whelan,Centre-Forward,25,Coventry City,Premier League,England,Middlesbrough,Premier League,England,2000-2001,NA,3000000
Changui,Centre-Forward,23,SD Compostela,LaLiga2,Spain,Dep. La Coruña,LaLiga,Spain,2000-2001,NA,3000000
Shaun Bartlett,Centre-Forward,28,FC Zürich,Super League,Super League,Charlton,Premier League,England,2000-2001,NA,3000000
Dmitri Alenichev,Central Midfield,27,AS Roma,Serie A,Italy,FC Porto,Liga NOS,Portugal,2000-2001,NA,3000000
Andrejs Stolcers,Attacking Midfield,26,Shakhtar D.,Premier Liga,Russia,Fulham,England,England,2000-2001,NA,3000000
Oktay Derelioglu,Centre-Forward,24,Siirtspor,Süper Lig,Turkey,UD Las Palmas,LaLiga,Spain,2000-2001,NA,3000000
Bjørn Otto Bragstad,Centre-Back,29,Rosenborg BK,Eliteserien,Eliteserien,Derby,Premier League,England,2000-2001,NA,3000000
Kenny Miller,Centre-Forward,20,Hibernian FC,Scotland,Scotland,Rangers,Scotland,Scotland,2000-2001,NA,3000000
Johan Elmander,Centre-Forward,19,Örgryte,Sweden,Sweden,Feyenoord,Eredivisie,Netherlands,2000-2001,NA,2900000
Milan Fukal,Centre-Back,25,Sparta Praha,Czech Republic,Czech Republic,Hamburger SV,1.Bundesliga,Germany,2000-2001,NA,2900000
Andrejs Rubins,Left Winger,21,Skonto Riga,Latvia,Latvia,Crystal Palace,England,England,2000-2001,NA,2800000
Marcel Ketelaer,Left Midfield,22,Bor. M'gladbach,2.Bundesliga,Germany,Hamburger SV,1.Bundesliga,Germany,2000-2001,NA,2800000
John Collins,Left Midfield,32,Everton,Premier League,England,Fulham,England,England,2000-2001,NA,2750000
Didier Martel,Forward,28,FC Utrecht,Eredivisie,Netherlands,Vitesse,Eredivisie,Netherlands,2000-2001,NA,2750000
Bernard Mendy,Right-Back,18,SM Caen,Ligue 2,France,Paris SG,Ligue 1,France,2000-2001,NA,2700000
Danijel Ljuboja,Centre-Forward,21,FC Sochaux,Ligue 2,France,R. Strasbourg,Ligue 1,France,2000-2001,NA,2700000
Tomás Galásek,Defensive Midfield,27,Willem II,Eredivisie,Netherlands,AFC Ajax,Eredivisie,Netherlands,2000-2001,NA,2700000
Yoshikatsu Kawaguchi,Goalkeeper,26,Yokohama F. M.,J1 - 2nd Stage,J1 - 2nd Stage,Portsmouth,First Division,First Division,2000-2001,NA,2700000
Gabriel Schürrer,Centre-Back,28,Dep. La Coruña,LaLiga,Spain,UD Las Palmas,LaLiga,Spain,2000-2001,NA,2700000
Henning Berg,Right-Back,30,Man Utd,Premier League,England,Blackburn,England,England,2000-2001,NA,2630000
Gary Naysmith,Left-Back,21,Heart of Midl.,Scotland,Scotland,Everton,Premier League,England,2000-2001,NA,2630000
Petri Pasanen,Centre-Back,19,FC Lahti,Finland,Finland,AFC Ajax,Eredivisie,Netherlands,2000-2001,NA,2600000
Christian Dailly,Centre-Back,27,Blackburn,England,England,West Ham,Premier League,England,2000-2001,NA,2600000
Jesper Christiansen,Goalkeeper,22,Odense BK,Denmark,Denmark,Rangers,Scotland,Scotland,2000-2001,NA,2550000
Nikola Lazetic,Right Winger,22,FK Obilic,Serbia,Serbia,Fenerbahce,Süper Lig,Turkey,2000-2001,NA,2500000
Tim Cornelisse,Right-Back,22,RKC Waalwijk,Eredivisie,Netherlands,Vitesse,Eredivisie,Netherlands,2000-2001,NA,2500000
Abdelilah Saber,Right-Back,26,Sporting CP,Liga NOS,Portugal,SSC Napoli,Serie A,Italy,2000-2001,NA,2500000
Callum Davidson,Left-Back,24,Blackburn,England,England,Leicester,Premier League,England,2000-2001,NA,2500000
Fazli Ulusal,Centre-Forward,26,Antalyaspor,Süper Lig,Turkey,Besiktas,Süper Lig,Turkey,2000-2001,NA,2500000
Ole Martin Arst,Centre-Forward,25,KAA Gent,Jupiler Pro League,Belgium,Standard Liège,Jupiler Pro League,Belgium,2000-2001,NA,2500000
Feliciano Magro,Attacking Midfield,21,Grasshoppers,Super League,Super League,Udinese Calcio,Serie A,Italy,2000-2001,NA,2500000
Jean-François Gillet,Goalkeeper,21,Monza,Serie B,Italy,Bari,Serie A,Italy,2000-2001,NA,2500000
Dimitar Berbatov,Centre-Forward,19,CSKA Sofia,Bulgaria,Bulgaria,Bay. Leverkusen,1.Bundesliga,Germany,2000-2001,NA,2500000
Cédric Roussel,Centre-Forward,23,Coventry City,Premier League,England,Wolves,England,England,2000-2001,NA,2400000
Per Frandsen,Right Midfield,30,Blackburn,England,England,Bolton,England,England,2000-2001,NA,2400000
Luciano,Right Midfield,24,Bologna,Serie A,Italy,Chievo Verona,Serie B,Italy,2000-2001,NA,2330000
Edgaras Jankauskas,Centre-Forward,25,Club Brugge,Jupiler Pro League,Belgium,Real Sociedad,LaLiga,Spain,2000-2001,NA,2300000
Alan Mahon,Left Midfield,22,Sporting CP,Liga NOS,Portugal,Blackburn,England,England,2000-2001,NA,2300000
Gustavo Nery,Left-Back,22,Guarani,Brazil,Brazil,São Paulo,Brazil,Brazil,2000-2001,NA,2300000
Ciriaco Sforza,Central Midfield,30,1.FC K'lautern,1.Bundesliga,German,Bayern Munich,1.Bundesliga,Germany,2000-2001,NA,2300000
David Hopkin,Right Midfield,30,Bradford City,Premier League,England,Crystal Palace,England,England,2000-2001,NA,2250000
Paul Robinson,Centre-Forward,21,Newcastle,Premier League,England,MK Dons,England,England,2000-2001,NA,2250000
Karel Poborsky,Right Midfield,28,Benfica,Liga NOS,Portugal,Lazio,Serie A,Italy,2000-2001,NA,2250000
Rab Douglas,Goalkeeper,28,Dundee FC,Scotland,Scotland,Celtic,Scotland,Scotland,2000-2001,NA,2250000
Erman Güracar,Centre-Back,25,Samsunspor,Süper Lig,Turkey,Besiktas,Süper Lig,Turkey,2000-2001,NA,2250000
