date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner,winner_loc
2019-10-13,Slovenia,Austria,0,1,UEFA Euro qualification,Ljubljana,Slovenia,False,Austria,Away
2019-10-15,Sweden,Spain,1,1,UEFA Euro qualification,Stockholm,Sweden,False,Tie,Tie
2019-10-15,Denmark,Luxembourg,4,0,Friendly,Aalborg,Denmark,False,Denmark,Home
2019-11-14,Portugal,Lithuania,6,0,UEFA Euro qualification,Faro-Loulé,Portugal,False,Portugal,Home
2019-11-15,Spain,Malta,7,0,UEFA Euro qualification,Cadiz,Spain,False,Spain,Home
2019-11-15,Romania,Sweden,0,2,UEFA Euro qualification,Bucharest,Romania,False,Sweden,Away
2019-11-16,Croatia,Slovakia,3,1,UEFA Euro qualification,Rijeka,Croatia,False,Croatia,Home
2019-11-16,Slovenia,Latvia,1,0,UEFA Euro qualification,Ljubljana,Slovenia,False,Slovenia,Home
2019-11-17,Luxembourg,Portugal,0,2,UEFA Euro qualification,Luxembourg City,Luxembourg,False,Portugal,Away
2019-11-18,Spain,Romania,5,0,UEFA Euro qualification,Madrid,Spain,False,Spain,Home
2019-11-18,Greece,Finland,2,1,UEFA Euro qualification,Athens,Greece,False,Greece,Home
2019-11-19,Netherlands,Estonia,5,0,UEFA Euro qualification,Amsterdam,Netherlands,False,Netherlands,Home
2019-11-19,Poland,Slovenia,3,2,UEFA Euro qualification,Warsaw,Poland,False,Poland,Home
2019-11-19,Latvia,Austria,1,0,UEFA Euro qualification,Riga,Latvia,False,Latvia,Home
2019-11-19,Belgium,Cyprus,6,1,UEFA Euro qualification,Brussels,Belgium,False,Belgium,Home
2020-09-03,Germany,Spain,1,1,UEFA Nations League,Stuttgart,Germany,False,Tie,Tie
2020-09-03,Slovenia,Greece,0,0,UEFA Nations League,Ljubljana,Slovenia,False,Tie,Tie
2020-09-04,Netherlands,Poland,1,0,UEFA Nations League,Amsterdam,Netherlands,False,Netherlands,Home
2020-09-05,Denmark,Belgium,0,2,UEFA Nations League,Copenhagen,Denmark,False,Belgium,Away
2020-09-05,Portugal,Croatia,4,1,UEFA Nations League,Porto,Portugal,False,Portugal,Home
2020-09-05,Sweden,France,0,1,UEFA Nations League,Stockholm,Sweden,False,France,Away
2020-09-06,Malta,Latvia,1,1,UEFA Nations League,Attard,Malta,False,Tie,Tie
2020-09-07,Netherlands,Italy,0,1,UEFA Nations League,Amsterdam,Netherlands,False,Italy,Away
2020-09-07,Austria,Romania,2,3,UEFA Nations League,Klagenfurt,Austria,False,Romania,Away
2020-09-08,France,Croatia,4,2,UEFA Nations League,Paris,France,False,France,Home
2020-09-08,Sweden,Portugal,0,2,UEFA Nations League,Stockholm,Sweden,False,Portugal,Away
2020-10-07,Austria,Greece,2,1,Friendly,Klagenfurt,Austria,False,Austria,Home
2020-10-07,Estonia,Lithuania,1,3,Friendly,Tallinn,Estonia,False,Lithuania,Away
2020-10-07,Poland,Finland,5,1,Friendly,Gdańsk,Poland,False,Poland,Home
2020-10-07,Portugal,Spain,0,0,Friendly,Lisbon,Portugal,False,Tie,Tie
2020-10-10,Luxembourg,Cyprus,2,0,UEFA Nations League,Luxembourg City,Luxembourg,False,Luxembourg,Home
2020-10-11,Poland,Italy,0,0,UEFA Nations League,Gdańsk,Poland,False,Tie,Tie
2020-10-11,Croatia,Sweden,2,1,UEFA Nations League,Zagreb,Croatia,False,Croatia,Home
2020-10-11,France,Portugal,0,0,UEFA Nations League,Paris,France,False,Tie,Tie
2020-10-11,Finland,Bulgaria,2,0,UEFA Nations League,Helsinki,Finland,False,Finland,Home
2020-10-13,Latvia,Malta,0,1,UEFA Nations League,Riga,Latvia,False,Malta,Away
2020-10-14,Italy,Netherlands,1,1,UEFA Nations League,Bergamo,Italy,False,Tie,Tie
2020-10-14,Portugal,Sweden,3,0,UEFA Nations League,Lisbon,Portugal,False,Portugal,Home
2020-10-14,Croatia,France,1,2,UEFA Nations League,Zagreb,Croatia,False,France,Away
2020-10-14,Romania,Austria,0,1,UEFA Nations League,Ploiești,Romania,False,Austria,Away
2020-11-11,Denmark,Sweden,2,0,Friendly,Brondbyvester,Denmark,False,Denmark,Home
2020-11-11,France,Finland,0,2,Friendly,Paris,France,False,Finland,Away
2020-11-11,Greece,Cyprus,2,1,Friendly,Athens,Greece,False,Greece,Home
2020-11-11,Italy,Estonia,4,0,Friendly,Florence,Italy,False,Italy,Home
2020-11-11,Luxembourg,Austria,0,3,Friendly,Luxembourg City,Luxembourg,False,Austria,Away
2020-11-11,Netherlands,Spain,1,1,Friendly,Amsterdam,Netherlands,False,Tie,Tie
2020-11-14,Portugal,France,0,1,UEFA Nations League,Lisbon,Portugal,False,France,Away
2020-11-14,Sweden,Croatia,2,1,UEFA Nations League,Stockholm,Sweden,False,Sweden,Home
2020-11-14,Cyprus,Luxembourg,2,1,UEFA Nations League,Nicosia,Cyprus,False,Cyprus,Home
2020-11-15,Italy,Poland,2,0,UEFA Nations League,Reggio Emilia,Italy,False,Italy,Home
2020-11-15,Bulgaria,Finland,1,2,UEFA Nations League,Sofia,Bulgaria,False,Finland,Away
2020-11-17,Croatia,Portugal,2,3,UEFA Nations League,Split,Croatia,False,Portugal,Away
2020-11-17,France,Sweden,4,2,UEFA Nations League,Paris,France,False,France,Home
2020-11-17,Spain,Germany,6,0,UEFA Nations League,Seville,Spain,False,Spain,Home
2020-11-18,Poland,Netherlands,1,2,UEFA Nations League,Chorzów,Poland,False,Netherlands,Away
2020-11-18,Belgium,Denmark,4,2,UEFA Nations League,Leuven,Belgium,False,Belgium,Home
2020-11-18,Greece,Slovenia,0,0,UEFA Nations League,Athens,Greece,False,Tie,Tie
2021-03-24,Slovenia,Croatia,1,0,FIFA World Cup qualification,Ljubljana,Slovenia,False,Slovenia,Home
2021-03-24,Cyprus,Slovakia,0,0,FIFA World Cup qualification,Nicosia,Cyprus,False,Tie,Tie
2021-03-25,Spain,Greece,1,1,FIFA World Cup qualification,Granada,Spain,False,Tie,Tie
2021-03-25,Hungary,Poland,3,3,FIFA World Cup qualification,Budapest,Hungary,False,Tie,Tie
2021-03-27,Netherlands,Latvia,2,0,FIFA World Cup qualification,Amsterdam,Netherlands,False,Netherlands,Home
2021-03-27,Croatia,Cyprus,1,0,FIFA World Cup qualification,Rijeka,Croatia,False,Croatia,Home
2021-03-27,Slovakia,Malta,2,2,FIFA World Cup qualification,Trnava,Slovakia,False,Tie,Tie
2021-03-28,Bulgaria,Italy,0,2,FIFA World Cup qualification,Sofia,Bulgaria,False,Italy,Away
2021-03-28,Romania,Germany,0,1,FIFA World Cup qualification,Bucharest,Romania,False,Germany,Away
2021-03-30,Luxembourg,Portugal,1,3,FIFA World Cup qualification,Luxembourg City,Luxembourg,False,Portugal,Away
2021-03-30,Cyprus,Slovenia,1,0,FIFA World Cup qualification,Nicosia,Cyprus,False,Cyprus,Home
2021-03-30,Croatia,Malta,3,0,FIFA World Cup qualification,Rijeka,Croatia,False,Croatia,Home
2021-03-31,Sweden,Estonia,1,0,Friendly,Stockholm,Sweden,False,Sweden,Home
2021-03-31,Lithuania,Italy,0,2,FIFA World Cup qualification,Vilnius,Lithuania,False,Italy,Away
2021-03-31,Austria,Denmark,0,4,FIFA World Cup qualification,Vienna,Austria,False,Denmark,Away
2021-05-29,Sweden,Finland,2,0,Friendly,Stockholm,Sweden,False,Sweden,Home
2021-06-01,Slovakia,Bulgaria,1,1,Friendly,Ried im Innkreis,Austria,True,Tie,Tie
2021-06-01,Lithuania,Estonia,0,1,Baltic Cup,Vilnius,Lithuania,False,Estonia,Away
2021-06-02,Germany,Denmark,1,1,Friendly,Innsbruck,Austria,True,Tie,Tie
2021-06-03,Belgium,Greece,1,1,Friendly,Brussels,Belgium,False,Tie,Tie
2021-06-04,Finland,Estonia,0,1,Friendly,Helsinki,Finland,False,Estonia,Away
2021-06-04,Hungary,Cyprus,1,0,Friendly,Budapest,Hungary,False,Hungary,Home
2021-06-04,Spain,Portugal,0,0,Friendly,Madrid,Spain,False,Tie,Tie
2021-06-04,Latvia,Lithuania,3,1,Baltic Cup,Riga,Latvia,False,Latvia,Home
2021-06-06,Austria,Slovakia,0,0,Friendly,Vienna,Austria,False,Tie,Tie
2021-06-06,Belgium,Croatia,1,0,Friendly,Brussels,Belgium,False,Belgium,Home
2021-06-07,Germany,Latvia,7,1,Friendly,Düsseldorf,Germany,False,Germany,Home
2021-06-08,France,Bulgaria,3,0,Friendly,Paris,France,False,France,Home
2021-06-08,Spain,Lithuania,4,0,Friendly,Leganés,Spain,False,Spain,Home
2021-06-10,Estonia,Latvia,2,1,Baltic Cup,Tallinn,Estonia,False,Estonia,Home
2021-06-12,Denmark,Finland,0,1,UEFA Euro,Copenhagen,Denmark,False,Finland,Away
2021-06-14,Poland,Slovakia,1,2,UEFA Euro,Saint Petersburg,Russia,True,Slovakia,Away
2021-06-14,Spain,Sweden,0,0,UEFA Euro,Seville,Spain,False,Tie,Tie
2021-06-15,Hungary,Portugal,0,3,UEFA Euro,Budapest,Hungary,False,Portugal,Away
2021-06-15,Germany,France,0,1,UEFA Euro,Munich,Germany,False,France,Away
2021-06-17,Denmark,Belgium,1,2,UEFA Euro,Copenhagen,Denmark,False,Belgium,Away
2021-06-17,Netherlands,Austria,2,0,UEFA Euro,Amsterdam,Netherlands,False,Netherlands,Home
2021-06-18,Sweden,Slovakia,1,0,UEFA Euro,Saint Petersburg,Russia,True,Sweden,Home
2021-06-19,Spain,Poland,1,1,UEFA Euro,Seville,Spain,False,Tie,Tie
2021-06-19,Hungary,France,1,1,UEFA Euro,Budapest,Hungary,False,Tie,Tie
2021-06-19,Germany,Portugal,4,2,UEFA Euro,Munich,Germany,False,Germany,Home
2021-06-21,Finland,Belgium,0,2,UEFA Euro,Saint Petersburg,Russia,True,Belgium,Away
2021-06-23,Spain,Slovakia,5,0,UEFA Euro,Seville,Spain,False,Spain,Home
2021-06-23,Sweden,Poland,3,2,UEFA Euro,Saint Petersburg,Russia,True,Sweden,Home
2021-06-23,Germany,Hungary,2,2,UEFA Euro,Munich,Germany,False,Tie,Tie
2021-06-23,Portugal,France,2,2,UEFA Euro,Budapest,Hungary,True,Tie,Tie
2021-06-26,Italy,Austria,2,1,UEFA Euro,London,England,True,Italy,Home
2021-06-27,Belgium,Portugal,1,0,UEFA Euro,Sevilla,Spain,True,Belgium,Home
2021-06-28,Croatia,Spain,3,5,UEFA Euro,Copenhagen,Denmark,True,Spain,Away
2021-07-02,Belgium,Italy,1,2,UEFA Euro,Munich,Germany,True,Italy,Away
2021-07-06,Italy,Spain,1,1,UEFA Euro,London,England,True,Italy,Tie
2021-09-01,Malta,Cyprus,3,0,FIFA World Cup qualification,Ta'Qali,Malta,False,Malta,Home
2021-09-01,Slovenia,Slovakia,1,1,FIFA World Cup qualification,Ljubljana,Slovenia,False,Tie,Tie
2021-09-02,Sweden,Spain,2,1,FIFA World Cup qualification,Stockholm,Sweden,False,Sweden,Home
2021-09-02,Italy,Bulgaria,1,1,FIFA World Cup qualification,Florence,Italy,False,Tie,Tie
2021-09-02,Estonia,Belgium,2,5,FIFA World Cup qualification,Tallinn,Estonia,False,Belgium,Away
2021-09-04,Slovenia,Malta,1,0,FIFA World Cup qualification,Ljubljana,Slovenia,False,Slovenia,Home
2021-09-04,Slovakia,Croatia,0,1,FIFA World Cup qualification,Bratislava,Slovakia,False,Croatia,Away
2021-09-05,Bulgaria,Lithuania,1,0,FIFA World Cup qualification,Sofia,Bulgaria,False,Bulgaria,Home
2021-09-07,France,Finland,2,0,FIFA World Cup qualification,Lyon,France,False,France,Home
2021-09-07,Croatia,Slovenia,3,0,FIFA World Cup qualification,Split,Croatia,False,Croatia,Home
2021-09-07,Slovakia,Cyprus,2,0,FIFA World Cup qualification,Bratislava,Slovakia,False,Slovakia,Home
2021-09-08,Greece,Sweden,2,1,FIFA World Cup qualification,Athens,Greece,False,Greece,Home
2021-09-08,Italy,Lithuania,5,0,FIFA World Cup qualification,Reggio Emilia,Italy,False,Italy,Home
