Country Name,2018,2017,2016,2015,2014
Macao,"$48,325,776,999","$43,569,462,694","$39,053,489,986","$37,386,930,780","$42,579,140,016"
Libya,"$45,416,011,389","$35,594,081,148","$29,561,975,396","$36,509,875,064","$48,410,470,839"
Serbia,"$44,765,617,639","$39,099,360,640","$40,231,628,249","$42,314,096,908","$44,498,603,948"
Sudan,"$43,606,187,606","$53,447,945,633","$59,638,393,779","$59,957,412,801","$56,527,400,155"
Luxembourg,"$43,121,077,278","$39,631,143,136","$39,996,820,079","$41,308,258,529","$42,560,625,105"
Jordan,"$42,553,417,241","$39,904,609,620","$38,174,554,192","$36,645,816,287","$34,989,004,995"
"Congo, Dem. Rep.","$41,800,163,601","$37,221,270,604","$36,861,846,431","$34,874,333,843","$32,572,882,714"
Tunisia,"$40,477,680,077","$40,293,252,367","$42,510,272,420","$44,321,922,452","$46,038,248,008"
Azerbaijan,"$40,401,421,784","$40,266,922,925","$46,471,710,632","$63,361,890,935","$73,360,860,873"
Turkmenistan,"$39,431,696,739","$36,747,796,296","$38,647,183,424","$39,142,691,113","$39,382,084,894"
Paraguay,"$38,984,519,763","$36,904,802,958","$36,583,990,950","$37,707,883,331","$38,317,640,036"
Bolivia,"$38,242,657,885","$34,575,847,668","$33,490,607,690","$32,208,419,843","$30,352,501,101"
Cameroon,"$36,476,494,287","$32,908,755,262","$33,119,808,669","$33,536,521,306","$33,690,669,389"
Bahrain,"$34,380,239,451","$31,742,032,641","$30,761,273,467","$30,981,591,728","$32,157,332,384"
Uganda,"$32,017,615,949","$30,634,965,161","$31,474,822,885","$31,764,483,699","$30,240,345,178"
Latvia,"$31,876,198,511","$28,844,998,059","$28,989,767,387","$33,011,425,463","$38,252,958,094"
Nepal,"$31,521,655,633","$27,232,896,302","$24,065,928,715","$24,128,371,395","$23,743,523,648"
Estonia,"$28,215,840,745","$24,827,746,803","$24,246,660,119","$24,592,520,187","$24,981,878,601"
Yemen,"$26,733,732,701","$29,871,922,711","$31,275,991,152","$31,729,635,513","$37,723,865,565"
Zambia,"$25,035,090,857","$21,930,929,002","$22,392,694,912","$25,049,360,275","$27,654,974,072"
El Salvador,"$24,503,938,693","$23,010,030,175","$22,296,131,174","$21,762,897,192","$21,429,733,840"
Iceland,"$23,900,454,891","$20,683,023,302","$18,419,638,944","$16,521,359,936","$15,743,510,973"
Cyprus,"$23,487,262,005","$21,242,660,833","$21,040,627,315","$22,024,989,999","$22,618,581,237"
Cambodia,"$22,461,211,018","$19,720,020,829","$17,916,905,837","$16,473,666,931","$15,573,069,863"
Papua New Guinea,"$22,394,744,909","$21,821,497,920","$22,384,845,384","$23,185,341,735","$23,770,284,739"
Honduras,"$22,310,405,550","$21,170,279,804","$19,697,616,969","$18,753,392,992","$17,960,591,677"
Trinidad And Tobago,"$22,222,187,530","$22,123,212,786","$23,253,132,088","$25,914,722,369","$25,287,696,788"
Senegal,"$22,064,434,209","$19,680,082,094","$19,105,732,529","$19,230,447,946","$19,372,507,311"
Zimbabwe,"$20,347,225,082","$19,742,493,753","$18,102,732,501","$17,668,504,937","$17,187,131,811"
Afghanistan,"$19,148,650,193","$19,316,759,740","$19,605,172,555","$20,583,397,306","$21,141,556,283"
West Bank And Gaza,"$19,140,221,315","$17,506,623,961","$17,032,319,938","$15,666,018,699","$14,857,577,287"
Bosnia,"$19,108,580,267","$17,155,833,809","$17,382,879,087","$17,875,177,017","$18,455,222,204"
Lao PDR,"$17,318,312,655","$15,595,221,761","$14,516,395,681","$13,309,789,821","$12,104,564,575"
Georgia,"$16,629,270,048","$15,049,350,074","$15,220,340,446","$16,438,279,019","$17,620,701,379"
Botswana,"$16,551,586,800","$14,760,338,763","$14,177,995,135","$14,509,108,459","$15,706,323,344"
Mali,"$15,906,397,900","$14,186,517,280","$13,954,289,422","$13,887,598,774","$13,712,625,345"
Mauritius,"$15,529,547,884","$13,890,224,438","$13,446,065,985","$13,505,311,227","$13,648,104,723"
Haiti,"$15,101,681,744","$14,376,086,342","$14,446,502,730","$14,867,161,982","$14,884,140,517"
Burkina Faso,"$14,738,547,605","$12,947,522,906","$12,626,356,407","$12,719,827,980","$13,374,189,110"
Jamaica,"$14,697,645,817","$13,872,542,458","$13,356,438,627","$13,596,589,067","$14,128,235,211"
Gabon,"$14,482,367,969","$13,440,719,658","$14,216,590,886","$15,530,344,475","$17,571,304,010"
Albania,"$13,936,110,159","$12,331,894,495","$12,421,239,110","$12,634,903,056","$13,116,565,123"
Benin,"$13,735,899,489","$12,203,345,267","$12,104,023,379","$12,462,818,466","$13,069,576,863"
Mozambique,"$13,629,520,200","$13,365,347,252","$14,795,137,398","$17,393,581,960","$18,071,491,916"
Madagascar,"$13,241,149,437","$12,018,895,988","$11,649,898,829","$11,861,271,031","$12,267,333,195"
Malta,"$13,129,381,677","$11,296,118,680","$10,742,659,721","$11,229,198,480","$10,674,823,055"
Niger,"$12,841,056,425","$11,151,689,602","$10,991,283,316","$11,118,913,973","$11,298,670,841"
Nicaragua,"$12,753,857,066","$12,954,212,736","$12,333,243,552","$11,767,998,534","$11,244,751,713"
Brunei,"$12,605,129,537","$12,650,894,476","$13,925,709,038","$16,120,516,072","$17,656,354,717"
Armenia,"$12,539,458,317","$11,623,145,814","$11,045,765,150","$11,738,591,730","$12,047,457,836"
Bahamas,"$12,335,438,421","$11,796,198,733","$11,038,448,293","$10,628,394,289","$10,376,333,295"
Namibia,"$12,126,986,924","$11,102,305,273","$11,165,434,206","$12,290,646,804","$13,164,098,846"
Mongolia,"$11,508,248,881","$10,060,007,635","$10,698,197,552","$11,463,724,094","$12,389,164,485"
North Macedonia,"$11,426,201,697","$10,247,024,587","$10,369,649,961","$10,618,386,779","$10,796,079,879"
Guinea,"$10,687,106,703","$9,948,321,889","$9,099,739,326","$8,703,469,933","$8,305,213,022"
Moldova,"$10,622,877,815","$9,174,041,564","$8,914,792,445","$9,343,923,476","$10,689,562,747"
Chad,"$10,458,838,543","$9,630,753,005","$10,676,159,781","$12,409,756,902","$13,352,646,184"
Rwanda,"$9,594,704,048","$8,797,068,454","$8,653,062,207","$8,553,002,584","$8,176,484,877"
"Congo, Rep.","$9,384,360,036","$8,703,039,215","$11,008,785,954","$15,020,025,479","$18,906,282,704"
Tajikistan,"$9,349,351,652","$9,110,554,255","$9,656,168,563","$10,653,316,640","$11,131,963,182"
Equatorial Guinea,"$8,803,819,947","$8,216,527,391","$10,043,892,395","$12,677,723,819","$14,849,041,963"
