Country Name,2018,2017,2016,2015,2014
Slovenia,"$54,161,636,035","$48,586,603,448","$44,766,722,791","$43,107,506,024","$49,997,186,439"
Lithuania,"$53,722,883,091","$47,758,736,932","$43,047,309,306","$41,435,533,340","$14,068,156,841"
Libya,"$52,607,888,718","$37,883,243,650","$26,197,143,268","$27,842,131,480","$41,142,722,414"
Serbia,"$50,640,650,221","$44,179,055,280","$40,692,643,373","$39,655,958,843","$47,062,206,678"
Uzbekistan,"$50,392,607,758","$59,159,945,321","$81,779,012,351","$81,847,410,182","$76,658,542,757"
Azerbaijan,"$47,112,941,176","$40,865,558,912","$37,867,518,957","$53,074,370,486","$75,244,294,275"
"Congo, Dem. Rep.","$46,831,342,213","$38,019,265,626","$37,134,799,975","$37,917,704,900","$35,909,040,266"
Jordan,"$42,932,112,676","$41,408,960,845","$39,892,551,127","$38,587,017,887","$36,847,643,521"
Turkmenistan,"$40,765,428,571","$37,926,285,714","$36,169,428,571","$35,799,714,286","$43,524,210,526"
Bolivia,"$40,287,647,931","$37,508,642,171","$33,941,126,194","$33,000,198,249","$32,996,188,017"
Paraguay,"$40,225,448,341","$38,997,129,474","$36,089,550,659","$36,211,372,703","$40,377,987,209"
Tunisia,"$39,770,478,673","$39,802,554,352","$41,801,284,916","$43,173,531,811","$47,632,390,882"
Cameroon,"$38,694,156,863","$35,009,262,788","$32,643,697,596","$30,928,653,814","$34,989,493,826"
Bahrain,"$37,652,500,000","$35,473,776,596","$32,234,973,404","$31,050,638,298","$33,387,712,766"
Sudan,"$34,522,586,970","$45,017,179,069","$52,804,065,670","$64,458,521,787","$61,731,303,935"
Latvia,"$34,416,012,859","$30,458,763,246","$28,071,381,730","$27,250,610,746","$31,371,093,970"
Nepal,"$33,111,525,183","$28,971,589,213","$24,524,098,184","$24,360,795,410","$22,731,602,970"
Uganda,"$32,912,338,571","$30,744,473,840","$29,078,589,751","$32,248,116,473","$32,472,362,949"
Estonia,"$30,631,142,227","$26,951,648,829","$24,276,032,336","$23,058,135,438","$26,809,132,542"
Zambia,"$26,311,637,647","$25,873,601,261","$20,958,412,538","$21,251,216,799","$27,141,023,558"
Iceland,"$26,224,228,693","$24,728,285,177","$20,793,168,031","$17,517,210,519","$17,867,662,178"
El Salvador,"$26,020,850,000","$24,979,200,000","$24,191,430,000","$23,438,240,000","$22,593,460,000"
Cyprus,"$25,309,818,139","$22,729,184,365","$20,953,442,550","$19,842,404,305","$23,156,850,007"
Cambodia,"$24,571,753,584","$22,177,200,512","$20,016,747,754","$18,049,954,289","$16,702,610,842"
Papua New Guinea,"$24,109,509,853","$22,742,613,554","$20,759,069,103","$21,723,531,173","$23,210,682,538"
Honduras,"$24,067,778,954","$23,136,232,230","$21,717,622,071","$20,979,767,785","$19,756,494,435"
Trinidad And Tobago,"$23,679,919,655","$22,385,426,654","$22,386,264,807","$24,959,858,249","$27,615,843,098"
Yemen,"$23,486,269,599","$26,736,138,945","$30,933,825,064","$42,445,102,387","$43,228,585,321"
Senegal,"$23,116,699,808","$20,996,564,752","$19,040,312,815","$17,774,766,636","$19,797,254,643"
Bosnia,"$20,183,510,561","$18,080,118,128","$16,913,330,694","$16,211,541,820","$18,558,343,508"
Zimbabwe,"$19,523,622,342","$19,015,327,919","$20,548,678,100","$19,963,120,600","$19,495,519,600"
Botswana,"$18,663,265,549","$17,405,588,070","$15,646,354,089","$14,420,593,484","$16,250,781,587"
Afghanistan,"$18,353,881,130","$18,869,945,678","$18,017,749,074","$19,907,111,419","$20,484,885,120"
Lao PDR,"$17,953,786,416","$16,853,087,485","$15,805,692,546","$14,390,442,307","$13,268,458,232"
Georgia,"$17,599,700,091","$16,242,916,916","$15,141,758,567","$14,953,950,557","$17,627,003,455"
Mali,"$17,070,866,299","$15,365,714,371","$14,026,048,691","$13,104,764,334","$14,364,937,997"
Gabon,"$16,862,282,414","$14,929,488,771","$14,023,890,620","$14,383,107,714","$18,203,968,002"
West Bank And Gaza,"$16,276,600,000","$16,128,000,000","$15,405,400,000","$13,972,400,000","$13,989,700,000"
Burkina Faso,"$16,059,910,871","$14,106,956,830","$12,833,363,370","$11,832,159,276","$13,943,016,924"
Haiti,"$15,965,670,198","$14,213,814,583","$13,723,267,961","$14,857,386,164","$14,790,765,760"
Jamaica,"$15,730,793,853","$14,808,989,993","$14,077,109,397","$14,188,935,948","$13,899,228,824"
Albania,"$15,147,020,535","$13,019,693,451","$11,861,200,797","$11,386,846,319","$13,228,144,008"
Malta,"$14,864,712,990","$13,221,298,308","$11,721,521,913","$11,091,434,484","$11,626,281,387"
Mozambique,"$14,845,870,051","$13,219,084,261","$11,936,999,283","$15,950,969,019","$17,716,084,108"
Benin,"$14,250,987,026","$12,701,655,846","$11,821,065,852","$11,388,160,997","$13,284,527,850"
Mauritius,"$14,181,930,162","$13,259,348,214","$12,232,469,392","$11,692,287,066","$12,803,438,965"
Namibia,"$13,681,065,175","$12,895,153,157","$10,721,994,676","$11,335,179,561","$12,435,416,063"
"Congo, Rep.","$13,642,740,884","$11,109,029,840","$10,158,508,345","$11,885,478,502","$17,889,079,958"
Madagascar,"$13,614,412,551","$13,176,313,233","$11,848,615,018","$11,323,023,787","$12,522,959,157"
Brunei,"$13,567,351,175","$12,128,104,859","$11,400,854,268","$12,930,394,938","$17,098,342,541"
Mongolia,"$13,108,769,496","$11,425,755,280","$11,186,734,674","$11,749,620,620","$12,226,514,722"
Equatorial Guinea,"$13,097,012,189","$12,200,913,888","$11,240,808,847","$13,185,496,881","$21,765,453,087"
Nicaragua,"$13,025,208,220","$13,785,909,906","$13,286,083,645","$12,756,706,583","$11,880,434,071"
Bahamas,"$13,022,100,000","$12,490,700,000","$11,928,500,000","$11,710,800,000","$11,111,600,000"
Niger,"$12,846,952,857","$11,189,541,083","$10,355,006,770","$9,685,577,941","$10,862,944,204"
North Macedonia,"$12,679,934,731","$11,310,265,325","$10,680,463,279","$10,071,243,243","$11,361,563,307"
Armenia,"$12,457,941,907","$11,527,458,566","$10,546,135,160","$10,553,337,673","$11,609,512,940"
Guinea,"$11,857,030,337","$10,324,668,267","$8,595,955,581","$8,794,202,444","$8,778,473,615"
Moldova,"$11,456,728,401","$9,669,759,987","$8,071,480,541","$7,745,231,660","$9,510,219,299"
Chad,"$11,239,167,048","$10,000,395,242","$10,097,778,354","$10,950,392,220","$13,940,768,066"
Malawi,"$9,712,994,565","$8,787,570,920","$5,433,040,160","$6,373,212,641","$6,047,813,437"
Rwanda,"$9,640,280,084","$9,253,098,954","$8,690,485,823","$8,539,048,448","$8,241,332,517"
Kyrgyz Republic,"$8,271,106,196","$7,702,934,800","$6,813,092,066","$6,678,178,340","$7,468,096,567"
Kosovo,"$7,942,961,738","$7,245,707,185","$6,719,172,017","$6,442,915,788","$7,396,705,195"
Tajikistan,"$7,765,014,424","$7,536,439,875","$6,992,393,787","$8,271,454,301","$9,112,544,556"
Isle Of Man,"$7,491,969,313","$6,979,581,725","$6,846,691,871","$7,085,288,006","$7,708,834,951"
Bermuda,"$7,224,329,000","$7,142,316,000","$6,899,911,000","$6,654,541,000","$6,413,988,000"
Monaco,"$7,194,024,563","$6,431,314,957","$6,472,990,923","$6,261,622,101","$7,069,616,049"
Togo,"$7,112,200,725","$6,395,472,574","$6,031,632,168","$4,180,866,177","$4,574,986,537"
Mauritania,"$7,050,987,978","$6,757,333,550","$6,398,744,505","$6,166,857,629","$6,592,537,782"
Liechtenstein,"$6,839,145,107","$6,474,256,119","$6,237,264,055","$6,268,391,521","$6,657,170,923"
Guam,"$6,051,000,000","$6,013,000,000","$5,901,000,000","$5,799,000,000","$5,610,000,000"
Fiji,"$5,581,393,121","$5,353,404,422","$4,930,204,230","$4,682,546,863","$4,856,963,230"
Cayman Islands,"$5,522,625,585","$5,166,467,299","$4,909,498,980","$4,708,336,733","$4,563,017,881"
Montenegro,"$5,506,767,832","$4,856,632,399","$4,377,033,429","$4,054,712,083","$4,594,024,180"
Maldives,"$5,299,773,144","$4,754,352,304","$4,379,115,588","$4,109,447,297","$3,697,351,597"
Barbados,"$5,086,500,000","$4,978,000,000","$4,830,000,000","$4,715,000,000","$4,696,500,000"
Guyana,"$4,787,635,821","$4,748,174,334","$4,482,697,337","$4,279,840,362","$4,127,664,336"
Somalia,"$4,720,727,283","$4,508,845,348","$4,198,485,404","$4,048,860,871","$3,963,532,302"
Eswatini,"$4,665,424,249","$4,402,973,000","$3,816,018,485","$4,062,660,890","$4,422,304,975"
Sierra Leone,"$4,085,114,794","$3,739,577,973","$3,674,794,530","$4,218,723,875","$5,015,157,816"
Suriname,"$3,996,247,906","$3,591,623,596","$3,317,438,911","$5,126,291,451","$5,240,606,061"
Virgin Islands (U.S.),"$3,984,000,000","$3,893,000,000","$3,873,000,000","$3,748,000,000","$3,622,000,000"
Liberia,"$3,264,000,000","$3,285,455,000","$3,277,826,000","$3,177,000,000","$3,144,000,000"
Andorra,"$3,218,316,013","$3,000,180,750","$2,896,679,212","$2,789,870,188","$3,271,808,157"
Aruba,"$3,202,188,607","$3,092,430,168","$2,983,636,872","$2,962,905,028","$2,790,849,162"
Curacao,"$3,127,908,045","$3,116,610,112","$3,122,287,933","$3,151,910,782","$3,158,406,034"
Greenland,"$3,051,626,390","$2,826,651,926","$2,707,146,783","$2,499,115,623","$2,842,048,998"
Faroe Islands,"$3,051,341,336","$2,899,226,098","$2,738,832,687","$2,518,096,286","$2,850,743,875"
Burundi,"$3,036,937,141","$3,172,292,379","$2,959,641,047","$3,104,394,792","$2,705,783,330"
Djibouti,"$3,012,820,410","$2,751,461,056","$2,603,554,907","$2,430,287,967","$2,214,681,574"
Lesotho,"$2,514,146,888","$2,306,843,529","$2,114,323,794","$2,359,759,799","$2,441,053,176"
Bhutan,"$2,446,866,405","$2,450,364,928","$2,158,972,129","$2,003,598,213","$1,907,090,813"
Central African Republic,"$2,220,979,145","$2,072,349,974","$1,825,018,144","$1,695,825,714","$1,894,813,390"
St. Lucia,"$2,065,875,074","$1,999,090,407","$1,865,375,222","$1,808,079,889","$1,755,130,815"
Cabo Verde,"$1,966,983,316","$1,769,787,215","$1,662,998,678","$1,596,800,287","$1,859,898,513"
Belize,"$1,915,899,787","$1,858,529,677","$1,789,304,088","$1,721,700,991","$1,667,335,061"
Gambia,"$1,670,670,669","$1,504,909,753","$1,484,579,844","$1,378,176,868","$1,229,460,602"
San Marino,"$1,655,300,873","$1,528,630,707","$1,468,377,272","$1,419,394,771","$1,673,973,695"
Antigua And Barbuda,"$1,605,351,852","$1,467,977,778","$1,436,585,185","$1,336,692,593","$1,249,733,333"
Seychelles,"$1,586,009,000","$1,524,486,800","$1,426,651,769","$1,377,495,054","$1,343,007,845"
Solomon Islands,"$1,574,599,183","$1,483,758,907","$1,378,551,118","$1,307,061,544","$1,335,538,893"
Timor-Leste,"$1,559,894,900","$1,599,338,100","$1,650,608,600","$1,594,410,800","$1,447,311,400"
Guinea-Bissau,"$1,504,630,121","$1,350,177,128","$1,179,004,941","$1,048,229,629","$1,054,915,645"
Northern Mariana Islands,"$1,302,000,000","$1,560,000,000","$1,230,000,000","$910,000,000","$832,000,000"
Sint Maarten (Dutch Part),"$1,185,474,860","$1,191,620,112","$1,263,687,151","$1,253,072,626","$1,245,251,397"
Comoros,"$1,178,530,634","$1,077,439,756","$1,012,835,493","$966,029,600","$1,149,587,660"
Grenada,"$1,168,696,296","$1,125,685,185","$1,061,631,222","$997,007,926","$911,497,407"
Turks And Caicos Islands,"$1,113,178,000","$1,022,365,000","$1,032,452,000","$942,070,000","$841,070,000"
St. Kitts And Nevis,"$1,010,822,222","$996,944,444","$971,170,370","$923,155,556","$916,566,667"
Vanuatu,"$914,727,908","$880,043,554","$780,889,606","$730,870,582","$772,315,721"
Samoa,"$821,496,065","$832,153,613","$799,376,440","$788,307,331","$756,919,917"
St. Vincent And The Grenadines,"$811,300,000","$792,177,778","$774,429,630","$755,400,000","$727,714,815"
American Samoa,"$641,000,000","$612,000,000","$671,000,000","$673,000,000","$643,000,000"
Dominica,"$551,074,074","$519,837,037","$576,229,630","$540,737,037","$520,207,407"
Tonga,"$489,235,527","$460,379,145","$420,540,179","$437,006,227","$439,878,828"
Sao Tome And Principe,"$412,253,810","$375,614,126","$345,495,615","$316,066,072","$346,528,329"
Micronesia,"$401,932,300","$366,666,800","$332,265,200","$316,489,900","$319,271,200"
Palau,"$280,435,700","$286,106,800","$295,065,400","$280,457,700","$241,669,800"
Marshall Islands,"$221,588,900","$213,204,100","$201,510,900","$183,814,300","$182,142,800"
Kiribati,"$196,737,896","$187,276,211","$178,328,873","$171,117,872","$179,703,443"
Nauru,"$124,021,394","$109,585,942","$100,087,349","$86,779,266","$104,654,365"
Tuvalu,"$42,588,165","$40,619,252","$36,547,800","$35,492,074","$37,290,608"
Venezuela,$0,$0,$0,$0,"$482,359,318,768"
South Sudan,$0,$0,$0,"$11,997,800,760","$13,962,212,847"
