DATAFLOW,LAST UPDATE,freq,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,DK,2018,28.1,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,DK,2019,30.4,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,DK,2020,26.6,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,EE,2011,3.4,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,EE,2012,4.0,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,EE,2013,5.1,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,EE,2014,6.3,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,EE,2015,4.9,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,EE,2016,5.6,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,EE,2017,5.2,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,EE,2018,5.4,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,EE,2019,6.1,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,EE,2020,4.5,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,EL,2011,12.4,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,EL,2012,8.2,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,EL,2013,9.7,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,EL,2014,14.2,
ESTAT:SPRT_EMP_SEX$DEFAULTVIEW(1.0),20/07/21 23:00:00,A,T,THS_PER,EL,2015,15.6,
